country,x,y
ARG,49.1247013,60.0421785684
AUS,57.9613539934,-48.1966704301
BGD,-116.972190369,9.71372024405
BRA,-6.09767239558,-37.8094308311
CAN,38.4941520368,-24.6010182924
CHL,59.4290192862,36.5360333156
CHN,-38.9984537696,22.6154478794
COL,-10.6797513562,-84.4736676034
DZA,169.525549719,122.406330659
EGY,95.0304768322,144.537226073
ETH,-5.86493450166,35.4532886724
EUN,78.068176033,1.14311137061
GHA,-104.548343492,-0.444835188219
HTI,-115.114184582,-13.4584107497
IDN,-114.470541945,14.5500525227
IND,-14.6587958857,-0.227424798759
IRN,76.3239430079,117.381386447
ISR,-107.053270987,-27.8633199527
JPN,-49.8408660871,-8.548946669
KAZ,223.217695382,-105.565666975
KOR,-47.7593632366,-0.933390056859
MEX,-41.8051596423,-2.44133626317
MOZ,-94.6463192183,9.31123853781
MYS,-82.3812557447,3.43144239104
NGA,-81.2580082777,24.5456242148
NZL,60.3833261017,-24.2124266019
PAK,130.834176278,-33.6876465774
PER,-19.3072028974,-3.35251126008
PHL,-111.571918671,11.8408198856
PRY,-6.20967236387,-43.8455027667
RUS,93.1750331004,-30.9904813556
SAU,11.465702989,44.6566599902
SDN,-116.872827318,-10.0774213289
THA,-103.671481388,-6.16668416533
TUR,218.866767971,45.3936712127
TZA,-83.0208303614,-9.71369090744
UKR,154.684973934,-48.3825794247
URY,159.844761991,-102.000023002
USA,38.7670952565,-22.7586566504
VNM,-125.741368851,-1.06068015937
ZAF,-17.380303007,-7.88595457608
ZMB,-99.2721888652,-4.85985539694
