country,x,y
ARG,54.4645872355,46.3396812189
AUS,65.0009934256,-39.7606108724
BGD,-113.246782492,13.4148078053
BRA,-16.65735835,-25.9056072242
CAN,65.7867872924,-19.9643959871
CHL,72.4760362935,25.127738128
CHN,-36.5040376104,36.5857027652
COL,-0.864852896716,-98.979926125
DZA,146.858416322,132.748400499
EGY,85.3168341578,140.161899231
ETH,-21.0309855645,21.7797356213
EUN,85.0366185839,-6.11540888245
GHA,-95.7941665128,0.571796293171
HTI,-112.413350081,-12.0554332703
IDN,-120.023668924,11.2009889742
IND,-22.2895265044,15.7323484332
IRN,81.7134983636,114.222130361
ISR,-104.535760687,-27.9185923367
JPN,-42.6543817382,-18.2402579639
KAZ,225.089494101,-96.3942715521
KOR,-46.7721081297,3.4479598704
MEX,-44.40259837,-16.49881337
MOZ,-93.5552723325,2.55127462801
MYS,-70.4078438076,11.7535905171
NGA,-74.1183342837,21.9332885139
NZL,30.5768062449,-49.5410630333
PAK,119.866263554,-18.5429037238
PER,-26.8605987657,1.44166244269
PHL,-105.579310074,10.8344168051
PRY,-16.0480831522,-35.146629334
RUS,115.769230464,-30.4882164401
SAU,11.1260083458,28.5606782936
SDN,-113.547143561,-9.58626548913
THA,-107.563408228,-5.60416409713
TUR,182.570481796,86.1187510055
TZA,-78.164414403,-12.7376035216
UKR,179.05032791,-67.4873424931
URY,144.095999569,-97.6157986861
USA,51.7291583287,-31.8363297152
VNM,-135.428078848,9.92415045053
ZAF,-21.496683555,-6.10834535706
ZMB,-96.5687931174,-7.92302238218
