country,x,y
ARG,50.134026531,56.9382335497
AUS,56.6886470404,-48.2625254133
BGD,-115.02601908,9.30680834637
BRA,-11.9037562392,-28.0281645647
CAN,49.1470153631,-26.2585277145
CHL,62.7555357149,28.6458571941
CHN,-36.4735368875,25.1106092183
COL,-2.37850676326,-90.7243677036
DZA,162.86768463,133.414150881
EGY,96.2898633198,143.4452323
ETH,-5.83459355291,30.3315879824
EUN,82.0510649777,1.43347744086
GHA,-98.6592189087,1.1640893652
HTI,-113.652350434,-11.2714010418
IDN,-115.37957665,12.9793677108
IND,-16.3036133859,5.48004970035
IRN,77.4670663045,119.573429456
ISR,-105.209530786,-26.8605492868
JPN,-47.8365239476,-11.0497918933
KAZ,248.130837376,-126.702557091
KOR,-45.3485944411,1.44413219186
MEX,-45.4750493399,-13.3699150325
MOZ,-95.5249829524,6.12678596007
MYS,-81.6482135341,4.31446721106
NGA,-79.1031230326,21.9753269949
NZL,18.9465004545,-57.6688991552
PAK,128.674933439,-27.8859802817
PER,-22.0215653047,-2.54619799837
PHL,-109.091053952,11.1009073101
PRY,-6.78723537094,-41.3369805416
RUS,97.0380575601,-27.2333983422
SAU,4.54479011356,48.8642597767
SDN,-115.159920464,-8.31313391097
THA,-105.557326444,-4.9477484207
TUR,197.621755873,77.0754225901
TZA,-80.9207783445,-10.7923466143
UKR,157.367782211,-45.5753872004
URY,161.673891389,-92.1670606115
USA,44.2167751959,-27.1998390014
VNM,-126.569173224,1.62943675922
ZAF,-16.2642725993,-7.47954877038
ZMB,-97.4877118554,-4.67931134798
