country,x,y
ARG,63.8855057586,-40.759380583
AUS,71.5121088545,39.1292259375
BGD,-112.441587493,-6.84097498479
BRA,-10.5328023182,34.4935692146
CAN,68.9831622878,21.9120151391
CHL,71.7806864314,-27.1114846971
CHN,-36.0395129368,-50.7333953698
COL,-5.40853562086,87.2610017781
DZA,125.988441567,-133.573321755
EGY,77.8912736978,-141.671335086
ETH,-39.1104575585,-34.1121323087
EUN,87.29741156,1.42244164885
GHA,-89.6269900201,2.0447848162
HTI,-108.620574163,13.183848773
IDN,-123.62969388,-9.77197810753
IND,-23.5821189595,-13.776738721
IRN,81.9425094244,-124.128916075
ISR,-102.335515057,25.0445950644
JPN,-37.7345625829,19.9041930193
KAZ,184.803295248,44.9168449745
KOR,-49.7442979142,-4.26579329825
MEX,-48.2081538818,12.0923539451
MOZ,-94.4701873845,1.17788718641
MYS,-73.8546694732,-12.0188276088
NGA,-55.265173775,-39.1912659411
NZL,-2.52700914599,74.8891509398
PAK,126.58122732,1.44441908758
PER,-33.8963920399,-3.75659753486
PHL,-99.4353052044,-11.7306749038
PRY,-5.72145812847,59.6372099914
RUS,132.864094925,33.9366167733
SAU,-7.20044083712,-28.8813887026
SDN,-109.728893487,10.9600756481
THA,-115.811125263,6.22178867425
TUR,188.928204912,-81.5614110497
TZA,-85.3418315657,15.2818503068
UKR,194.568233095,69.2102449617
URY,180.705603211,143.010914656
USA,63.7224184033,29.9675109322
VNM,-137.609104396,-2.59742232409
ZAF,-17.685982344,10.6234627804
ZMB,-95.8918012663,8.71703280232
