country,x,y
ARG,47.634905316,57.5912759634
AUS,59.5996212825,-44.8687024007
BGD,-113.722347519,24.4415752541
BRA,-5.68826212119,-39.3607567618
CAN,32.6506617102,-24.8356457341
CHL,56.1410802549,39.0971321774
CHN,-37.5667001926,25.3346385918
COL,-11.7736672963,-84.4537524921
DZA,176.771590163,111.172972084
EGY,99.6759700538,142.123111015
ETH,-0.980083147446,33.889959816
EUN,78.474187202,-1.84078845306
GHA,-104.157186746,-4.69031777057
HTI,-114.57164175,-16.2730699034
IDN,-111.216077826,22.8322379025
IND,-7.44009752483,-5.322373874
IRN,79.46543389,115.161769525
ISR,-107.490120241,-29.7949324245
JPN,-47.9732910315,-5.23920271248
KAZ,213.37284322,-102.379531827
KOR,-44.3579283421,0.77480878574
MEX,-43.4407107073,-3.94641409002
MOZ,-95.0376741029,5.51011259664
MYS,-81.6450285568,8.82604513901
NGA,-81.96228202,18.5815406633
NZL,53.6800178488,-33.8359675252
PAK,134.712745081,-39.7990415538
PER,-17.9753484701,-1.99260479316
PHL,-110.104871361,18.3364373635
PRY,-8.09194788671,-47.1218402233
RUS,84.2361062365,-23.14153835
SAU,17.0866894508,45.6038487712
SDN,-116.439359732,-12.6490535474
THA,-100.26900159,-1.91399680669
TUR,241.560896565,13.0947775281
TZA,-81.6355700989,-11.74243648
UKR,145.946754376,-49.1330636207
URY,125.503743159,-66.2974701651
USA,34.7760366866,-22.0484948416
VNM,-121.327864587,10.2697434802
ZAF,-18.080842723,-10.7165643474
ZMB,-98.3413769233,-9.2444259581
